"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Jun 15 2010","2455364","298296001","132.02","3.86e-7","6.20e-8","-2.1","-","1e-8","0","bin227.log"
"Jun 18 2010","2455367","298555201","219.99","5.34e-7","6.90e-8","-2.1","-","1e-8","0","bin228.log"
"Jun 21 2010","2455370","298814401","166.83","4.31e-7","6.50e-8","-2.1","-","1e-8","0","bin229.log"
"Jun 24 2010","2455373","299073601","125.13","3.16e-7","5.60e-8","-2.1","-","1e-8","0","bin230.log"
"Jun 27 2010","2455376","299332801","253.15","4.55e-7","6.20e-8","-2.1","-","1e-8","0","bin231.log"
"Jun 30 2010","2455379","299592001","201.05","5.02e-7","7.10e-8","-2.1","-","1e-8","0","bin232.log"
"Jul 03 2010","2455382","299851201","91.85","2.54e-7","5.30e-8","-2.1","-","1e-8","0","bin233.log"
"Jul 06 2010","2455385","300110401","93.31","2.12e-7","4.60e-8","-2.1","-","1e-8","0","bin234.log"
"Jul 09 2010","2455388","300369601","26.85","1.08e-7","3.77e-8","-2.1","-","1e-8","0","bin235.log"
"Jul 12 2010","2455391","300628801","26.08","1.42e-7","4.28e-8","-2.1","-","1e-8","0","bin236.log"
"Jul 15 2010","2455394","300888001","23.46","1.10e-7","3.85e-8","-2.1","-","1e-8","0","bin237.log"
"Jul 18 2010","2455397","301147201","46.61","1.11e-7","3.53e-8","-2.1","-","1e-8","0","bin238.log"
"Jul 21 2010","2455400","301406401","34.18","1.60e-7","4.50e-8","-2.1","-","1e-8","0","bin239.log"
"Jul 24 2010","2455403","301665601","22.54","9.76e-8","3.73e-8","-2.1","-","1e-8","0","bin240.log"
"Jul 27 2010","2455406","301924801","18.69","8.96e-8","3.55e-8","-2.1","-","1e-8","0","bin241.log"
"Jul 30 2010","2455409","302184001","29.47","1.41e-7","4.16e-8","-2.1","-","1e-8","0","bin242.log"
"Aug 02 2010","2455412","302443201","20.03","1.37e-7","4.72e-8","-2.1","-","1e-8","0","bin243.log"
